,_id,category_code,country_code,founded_year,geoloc,latitude,longitude,name,number_of_employees,total_money_raised,total_offices,nearest_offices,ranking
137,5d277baf5370f8e6fc94d923,advertising,DEU,2007,"{'type': 'Point', 'coordinates': [13.3787413, 52.5372765]}",52.5372765,13.3787413,Videoplaza,70,€15.9M,5,2,1.0
75,5d277baf5370f8e6fc94d8e5,web,USA,2003,"{'type': 'Point', 'coordinates': [-74.006196, 40.725883]}",40.725883,-74.006196,TheLadders,110,$7.25M,1,1,0.5
131,5d277baf5370f8e6fc94d91d,enterprise,USA,2004,"{'type': 'Point', 'coordinates': [-122.05074, 37.316653]}",37.316653,-122.05074,NextBio,75,$16.1M,1,1,0.5
116,5d277baf5370f8e6fc94d90e,software,USA,2004,"{'type': 'Point', 'coordinates': [-118.3952969, 33.9192583]}",33.9192583,-118.3952969,Velocify,125,$20.3M,1,1,0.5
117,5d277baf5370f8e6fc94d90f,advertising,USA,2008,"{'type': 'Point', 'coordinates': [6.124424, 46.223157]}",46.223157,6.124424,NewsCred,70,$21.8M,2,1,0.5
82,5d277baf5370f8e6fc94d8ec,web,USA,2004,"{'type': 'Point', 'coordinates': [-122.307887, 37.54763]}",37.54763,-122.307887,SugarSync,60,$61M,1,1,0.5
48,5d277baf5370f8e6fc94d8ca,web,USA,2005,"{'type': 'Point', 'coordinates': [-122.421344, 37.744274]}",37.744274,-122.421344,Automattic,200,$30.6M,1,1,0.5
121,5d277baf5370f8e6fc94d913,advertising,USA,2007,"{'type': 'Point', 'coordinates': [-118.3826743, 34.0815238]}",34.0815238,-118.3826743,SocialVibe,80,$43.9M,1,1,0.5
123,5d277baf5370f8e6fc94d915,web,USA,2007,"{'type': 'Point', 'coordinates': [-122.227765, 37.492685]}",37.492685,-122.227765,GreenNote,65,$4.2M,1,1,0.5
60,5d277baf5370f8e6fc94d8d6,advertising,USA,2005,"{'type': 'Point', 'coordinates': [-84.03398, 34.105226]}",34.105226,-84.03398,Yodle,1000,$40M,5,1,0.5
112,5d277baf5370f8e6fc94d90a,games_video,USA,2007,"{'type': 'Point', 'coordinates': [-118.343791, 34.085749]}",34.085749,-118.343791,Modern Feed,123,$3M,1,1,0.5
81,5d277baf5370f8e6fc94d8eb,software,USA,2004,"{'type': 'Point', 'coordinates': [-121.987661, 37.386774]}",37.386774,-121.987661,Evernote,280,$251M,1,1,0.5
105,5d277baf5370f8e6fc94d903,analytics,USA,2006,"{'type': 'Point', 'coordinates': [-72.5254318, 41.278528]}",41.278528,-72.5254318,Networked Insights,130,$38.4M,3,1,0.5
124,5d277baf5370f8e6fc94d916,analytics,USA,2003,"{'type': 'Point', 'coordinates': [-122.252115, 37.538418]}",37.538418,-122.252115,Vindicia,100,$37.6M,1,1,0.5
150,5d277baf5370f8e6fc94d930,software,USA,2007,"{'type': 'Point', 'coordinates': [-122.4007846, 37.7899027]}",37.7899027,-122.4007846,Lyft,180,$82.5M,2,1,0.5
126,5d277baf5370f8e6fc94d918,enterprise,USA,2005,"{'type': 'Point', 'coordinates': [-122.402021, 37.764169]}",37.764169,-122.402021,InsideView,150,$56.5M,1,1,0.5
59,5d277baf5370f8e6fc94d8d5,enterprise,USA,2008,"{'type': 'Point', 'coordinates': [-71.05781, 42.35892]}",42.35892,-71.05781,Cloudant,70,$18.3M,1,1,0.5
51,5d277baf5370f8e6fc94d8cd,enterprise,USA,2006,"{'type': 'Point', 'coordinates': [-122.158804, 37.43938]}",37.43938,-122.158804,Gigya,230,$69.8M,1,1,0.5
127,5d277baf5370f8e6fc94d919,enterprise,CAN,2004,"{'type': 'Point', 'coordinates': [-79.381254, 43.65101]}",43.65101,-79.381254,Blueprint Software Systems,100,$30.2M,1,1,0.5
129,5d277baf5370f8e6fc94d91b,games_video,USA,2006,"{'type': 'Point', 'coordinates': [-73.957968, 40.720764]}",40.720764,-73.957968,VBS TV,100,$10M,1,1,0.5
130,5d277baf5370f8e6fc94d91c,enterprise,USA,2003,"{'type': 'Point', 'coordinates': [-122.246867, 37.506272]}",37.506272,-122.246867,MarkLogic,240,$71.2M,1,1,0.5
115,5d277baf5370f8e6fc94d90d,analytics,USA,2005,"{'type': 'Point', 'coordinates': [-122.111711, 37.371908]}",37.371908,-122.111711,Talend,400,$102M,1,1,0.5
114,5d277baf5370f8e6fc94d90c,software,USA,2008,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}",37.269175,-119.306607,New Relic,63,$175M,1,1,0.5
42,5d277baf5370f8e6fc94d8c4,games_video,SGP,2005,"{'type': 'Point', 'coordinates': [-122.343679, 37.580304]}",37.580304,-122.343679,mig33,100,$32.4M,1,1,0.5
35,5d277baf5370f8e6fc94d8bd,advertising,USA,2004,"{'type': 'Point', 'coordinates': [-81.879069, 26.580095]}",26.580095,-81.879069,Adknowledge,300,$248M,9,1,0.5
41,5d277baf5370f8e6fc94d8c3,games_video,USA,2007,"{'type': 'Point', 'coordinates': [-118.456806, 34.031276]}",34.031276,-118.456806,hulu,153,$100M,1,1,0.5
63,5d277baf5370f8e6fc94d8d9,software,USA,2006,"{'type': 'Point', 'coordinates': [-71.118487, 42.375392]}",42.375392,-71.118487,HubSpot,650,$131M,1,1,0.5
140,5d277baf5370f8e6fc94d926,software,USA,2007,"{'type': 'Point', 'coordinates': [12.568116, 55.676294]}",55.676294,12.568116,Zendesk,400,$85.5M,1,1,0.5
39,5d277baf5370f8e6fc94d8c1,advertising,FRA,2004,"{'type': 'Point', 'coordinates': [2.3797825, 48.8506065]}",48.8506065,2.3797825,Adknowledge,300,$248M,9,1,0.5
64,5d277baf5370f8e6fc94d8da,mobile,USA,2006,"{'type': 'Point', 'coordinates': [-122.230116, 37.486368]}",37.486368,-122.230116,Qik,60,$14.8M,1,1,0.5
38,5d277baf5370f8e6fc94d8c0,advertising,DEU,2004,"{'type': 'Point', 'coordinates': [11.5582609, 48.1635092]}",48.1635092,11.5582609,Adknowledge,300,$248M,9,1,0.5
71,5d277baf5370f8e6fc94d8e1,web,USA,2006,"{'type': 'Point', 'coordinates': [-121.918319, 37.383844]}",37.383844,-121.918319,Mixbook,90,$11M,1,1,0.5
148,5d277baf5370f8e6fc94d92e,games_video,USA,2008,"{'type': 'Point', 'coordinates': [-122.4015807, 37.7705096]}",37.7705096,-122.4015807,ngmoco,150,$44.8M,1,1,0.5
30,5d277baf5370f8e6fc94d8b8,advertising,USA,2004,"{'type': 'Point', 'coordinates': [-94.597896, 39.044694]}",39.044694,-94.597896,Adknowledge,300,$248M,9,1,0.5
